id;cadastrado_em;modificado_em;nome;posicao;numeracao;tipo;conta_pai_id;excluido;selecionavel;essencial
110058;2016-10-24 14:14:49.070835+00;2016-10-25 19:43:14.05629+00;SGF/SRF - DESPESAS OPERACIONAIS - Repasse ou Ajuda a Regiões;23004;2.30.04;S;110048;false;true;false
110072;2016-10-24 14:26:07.181747+00;2016-10-25 19:57:02.949843+00;SGF/SRF - Despesas Diversas;23099;2.30.99;S;110048;false;true;false
110056;2016-10-24 14:13:33.299777+00;2016-10-25 19:40:44.667272+00;SGF/SRF - Fundo Episcopal;23002;2.30.02;S;110048;false;true;false
110103;2017-06-07 21:29:03.915189+00;2017-06-07 21:29:03.915234+00;SGF/SRF - Repasse Para Secretarias/Instituições;23031;2.30.31;S;110048;false;true;false
110102;2017-06-07 21:28:25.277396+00;2017-06-07 21:28:25.277446+00;SGF/SRF - Repasse da Cota Única;23030;2.30.30;S;110048;false;true;false
110071;2016-10-24 14:25:48.311326+00;2016-10-25 19:56:18.297587+00;SGF/SRF - Seguros (Metlife);23054;2.30.54;S;110048;false;true;false
110068;2016-10-24 14:24:11.224014+00;2016-10-25 19:53:46.494928+00;SGF/SRF - Suporte Financeiro AGEMIW/SGM;23051;2.30.51;S;110048;false;true;false
100003;2016-10-08 01:42:32.825316+00;2016-10-12 07:56:58.660929+00;DEVOLUÇÃO DE CAIXA;311;3.11;T;100001;false;true;false
100001;2016-05-24 02:07:26.124+00;2016-05-24 02:07:26.124+00;TRANSFERÊNCIAS;3;3;T;\0;false;false;false
110095;2016-12-21 18:04:36.869371+00;2016-12-21 20:20:51.269707+00;TRANSFERÊNCIAS - Aplicação Financeira;303;3.03;T;100001;false;true;false
110098;2016-12-21 20:23:03.15158+00;2016-12-21 20:23:03.151653+00;TRANSFERÊNCIAS - Baixa de Aplicações Financeiras;313;3.13;T;100001;false;true;false
110121;2017-11-09 16:07:16.102422+00;2017-11-09 16:07:16.102563+00;TRANSFERÊNCIAS - Caixa Congregação para Caixa Sede;305;3.05;T;100001;false;true;false
110120;2017-11-09 16:06:02.50408+00;2017-11-09 16:06:42.533463+00;TRANSFERÊNCIAS - Caixa Sede para Caixa Congregação;304;3.04;T;100001;false;true;false
110128;2018-04-13 13:32:27.660849+00;2018-04-13 13:32:27.660881+00;TRANSFERÊNCIAS - Cheques Devolvidos;314;3.14;T;100001;false;true;false
110137;2018-06-26 23:39:15.328197+00;2018-06-26 23:39:15.328233+00;TRANSFERÊNCIAS - Crédito Operação Maquina de Cartão;306;3.06;T;100001;false;true;false
110096;2016-12-21 18:45:02.558884+00;2016-12-21 20:21:24.397112+00;TRANSFERÊNCIAS - Depósito em Conta Corrente;302;3.02;T;100001;false;true;false
110097;2016-12-21 20:22:22.942712+00;2016-12-21 20:22:22.942756+00;TRANSFERÊNCIAS - Saque ou Cheque;312;3.12;T;100001;false;true;false
100002;2016-10-08 01:41:58.581261+00;2016-12-21 20:21:13.135228+00;TRANSFERÊNCIAS - Suplemento de Caixa;301;3.01;T;100001;false;true;false
