id;cadastrado_em;modificado_em;excluido;codigo_host;data_nomeacao;data_termino;hist_distrito_id;hist_geral_id;hist_igreja_id;hist_orgao_id;hist_regiao_id;hist_secretaria_id;instituicao_id;pessoa_id;funcao_ministerial_id
5440;2021-03-01 15:47:50.204168+00;2023-01-20 13:21:10.615001+00;false;\0;12/12/2020;09/12/2022;2790;\0;2844;\0;19;\0;2844;1984;19
5411;2021-02-02 16:32:39.221492+00;2023-02-01 14:54:20.992986+00;false;\0;05/12/2020;05/12/2021;1782;\0;2835;\0;17;\0;2835;1932;9
5419;2021-02-24 13:44:55.248727+00;2023-03-07 16:57:58.308127+00;false;\0;01/01/2021;31/12/2022;1771;\0;2589;\0;23;\0;2589;119;18
5121;2020-12-29 19:10:56.686084+00;2021-05-11 20:26:57.557207+00;false;\0;12/12/2020;10/05/2021;2772;\0;2461;\0;19;\0;2461;894;8
536;2016-11-11 19:03:20.247544+00;2021-05-18 13:57:56.672861+00;true;511;21/11/2020;\0;1833;\0;2157;\0;22;\0;2157;943;20
1361;2016-11-11 19:03:39.630918+00;2021-05-19 13:54:23.56599+00;false;1476;01/01/2011;31/12/2012;2765;\0;2437;\0;25;\0;2437;1122;\0
5244;2021-01-07 14:40:53.292459+00;2021-05-20 16:47:17.777039+00;false;\0;07/01/2021;19/05/2021;1768;\0;1907;\0;23;\0;1907;562;18
3816;2017-07-12 14:47:46.196111+00;2021-05-21 13:46:42.060465+00;false;\0;10/12/2016;28/11/2020;1794;\0;2150;\0;18;\0;2150;1229;9
5467;2021-05-25 19:14:31.234992+00;2021-05-25 19:14:31.235036+00;false;\0;10/12/2016;01/12/2018;1800;\0;2174;\0;18;\0;2174;1638;28
5468;2021-05-25 19:40:24.189874+00;2021-05-25 19:40:24.189919+00;false;\0;04/12/2011;14/12/2014;1863;\0;2129;\0;18;\0;2129;238;13
5469;2021-05-25 19:44:06.333813+00;2021-05-25 19:44:42.87108+00;false;\0;14/12/2014;19/02/2015;1863;\0;2129;\0;18;\0;2129;238;20
142;2016-11-11 19:03:11.762044+00;2021-05-25 19:47:28.838071+00;false;1166;05/12/2010;10/12/2011;1798;\0;2361;\0;18;\0;2361;135;18
2583;2016-11-11 19:04:05.39237+00;2021-05-25 19:52:32.440626+00;false;3286;14/12/2014;01/12/2018;1800;\0;2190;\0;18;\0;2190;1245;19
2049;2016-11-11 19:03:54.540738+00;2021-05-25 19:53:35.964417+00;false;2445;09/12/2012;14/12/2014;1800;\0;2575;\0;18;\0;2575;1245;19
5471;2021-05-26 18:59:36.481399+00;2021-05-26 18:59:36.481467+00;false;\0;14/12/2014;01/12/2016;1800;\0;2741;\0;18;\0;2741;1245;19
4718;2019-06-01 13:56:45.616616+00;2021-05-26 19:04:20.128637+00;false;\0;01/12/2018;\0;1800;\0;2175;\0;18;\0;2175;1245;19
5472;2021-05-26 19:24:46.020074+00;2021-05-26 19:24:46.020118+00;false;\0;06/01/2007;07/12/2008;1793;\0;2144;\0;18;\0;2144;133;10
5473;2021-05-26 19:26:57.118706+00;2021-05-26 19:26:57.118782+00;false;\0;07/12/2008;05/12/2010;1793;\0;2144;\0;18;\0;2144;133;8
5474;2021-05-26 19:32:27.019129+00;2021-05-26 19:32:27.019196+00;false;\0;05/12/2010;14/12/2014;1801;\0;\0;\0;18;\0;1801;133;21
5475;2021-05-26 19:38:47.000883+00;2021-05-26 19:38:47.000926+00;false;\0;05/12/2010;10/12/2016;\0;\0;\0;2753;\0;\0;2753;133;8
5476;2021-05-26 19:47:42.954665+00;2021-05-26 19:47:42.954713+00;false;\0;28/11/2020;\0;1796;\0;2130;\0;18;\0;2130;133;21
5435;2021-02-25 20:47:51.718293+00;2022-01-20 21:26:13.035833+00;false;\0;12/12/2020;18/12/2021;1806;\0;2454;\0;19;\0;2454;2183;9
5462;2021-05-11 20:23:25.854851+00;2022-01-21 19:18:46.071915+00;false;\0;10/05/2021;18/12/2021;1843;\0;\0;\0;19;\0;1843;892;6
5028;2020-12-29 13:47:18.64868+00;2022-01-21 19:29:43.354281+00;false;\0;12/12/2020;18/12/2021;1805;\0;\0;\0;19;\0;1805;917;6
5445;2021-03-16 13:14:37.277484+00;2022-01-21 19:30:33.223184+00;false;\0;12/12/2020;18/12/2021;1837;\0;\0;\0;19;\0;1837;917;6
5464;2021-05-20 16:47:43.179531+00;2022-05-11 16:15:55.514927+00;false;\0;20/05/2021;11/02/2022;1768;\0;1906;\0;23;\0;1906;562;18
5465;2021-05-20 16:49:59.719723+00;2022-05-11 16:19:06.199942+00;false;\0;20/05/2021;11/02/2022;1768;\0;1957;\0;23;\0;1957;1500;20
3047;2017-01-08 14:01:42.231671+00;2021-05-26 19:50:18.964547+00;false;\0;10/12/2016;01/12/2018;1798;\0;2361;\0;18;\0;2361;133;18
3060;2017-01-09 11:46:22.84115+00;2021-05-27 13:51:04.899755+00;false;\0;10/12/2016;01/12/2018;1798;\0;2135;\0;18;\0;2135;1573;12
5477;2021-05-27 13:52:20.909812+00;2021-05-27 13:52:20.909866+00;false;\0;01/12/2018;\0;1798;\0;2361;\0;18;\0;2361;1573;24
5478;2021-05-27 14:08:36.050664+00;2021-05-27 14:08:36.050737+00;false;\0;01/12/2018;\0;1797;\0;2140;\0;18;\0;2140;2191;13
5479;2021-05-27 14:09:00.937624+00;2021-05-27 14:09:00.937705+00;false;\0;01/12/2018;\0;1797;\0;2341;\0;18;\0;2341;2191;13
4878;2020-11-18 15:58:22.984109+00;2021-05-27 14:36:51.668467+00;false;\0;01/12/2018;28/11/2020;1795;\0;2069;\0;18;\0;2069;795;8
