id;cadastrado_em;modificado_em;excluido;data_hora;total_entradas;total_saidas;saldo_anterior;saldo_final;estorno;auditado;caixa_id;instituicao_id;ano;mes;total_transf_entradas;total_transf_saidas;aux_data_hora;aux_saldo_anterior;aux_saldo_final;aux_total_entradas;aux_total_saidas;aux_total_transf_entradas;aux_total_transf_saidas
213384;2024-01-15 22:50:18.566918+00;2024-01-15 22:50:18.566963+00;false;2023-12-01 03:00:00+00;1522,95;608,45;486,63;644,13;false;false;3320;2517;2023;12;0;757;\0;0;0;0;0;0;0
213385;2024-01-15 22:50:18.575624+00;2024-01-15 22:50:18.575671+00;false;2023-12-01 03:00:00+00;4804,51;8712,42;8493,61;5342,7;false;false;4450;2517;2023;12;757;0;\0;0;0;0;0;0;0
213386;2024-01-15 22:50:18.583675+00;2024-01-15 22:50:18.583716+00;false;2023-12-01 03:00:00+00;0;0;314,81;314,81;false;false;3319;2517;2023;12;0;0;\0;0;0;0;0;0;0
213387;2024-01-15 22:50:18.592294+00;2024-01-15 22:50:18.592337+00;false;2023-12-01 03:00:00+00;0;0;0;0;false;false;4241;2517;2023;12;0;0;\0;0;0;0;0;0;0
213388;2024-01-15 22:50:18.600559+00;2024-01-15 22:50:18.600592+00;false;2023-12-01 03:00:00+00;0;0;0,19;0,19;false;false;5299;2517;2023;12;0;0;\0;0;0;0;0;0;0
213389;2024-01-15 22:57:41.048302+00;2024-01-15 22:57:41.048341+00;false;2023-12-01 03:00:00+00;2544;1200;88,89;1432,89;false;false;2397;2358;2023;12;0;0;\0;0;0;0;0;0;0
213390;2024-01-15 23:02:00.473549+00;2024-01-15 23:02:00.473595+00;false;2023-12-01 03:00:00+00;44557,34;40240,69;318,16;6661,89;false;false;2254;2215;2023;12;2027,08;0;\0;0;0;0;0;0;0
213391;2024-01-15 23:02:00.482373+00;2024-01-15 23:02:00.482405+00;false;2023-12-01 03:00:00+00;7880,25;4426,02;5903,03;7770,41;false;false;3314;2215;2023;12;0;1586,85;\0;0;0;0;0;0;0
213392;2024-01-15 23:02:00.489888+00;2024-01-15 23:02:00.48992+00;false;2023-12-01 03:00:00+00;2317;1369,09;4934,4;5442,08;false;false;5293;2215;2023;12;0;440,23;\0;0;0;0;0;0;0
213393;2024-01-15 23:02:00.497229+00;2024-01-15 23:02:00.49747+00;false;2023-12-01 03:00:00+00;0;0;0;0;false;false;3313;2215;2023;12;0;0;\0;0;0;0;0;0;0
213394;2024-01-15 23:02:00.505828+00;2024-01-15 23:02:00.505874+00;false;2023-12-01 03:00:00+00;0;0;0;0;false;false;4792;2215;2023;12;0;0;\0;0;0;0;0;0;0
213395;2024-01-15 23:35:35.12091+00;2024-01-15 23:35:35.120972+00;false;2023-12-01 03:00:00+00;12141,26;14138,34;4769,99;2772,91;false;false;2570;2531;2023;12;0;0;\0;0;0;0;0;0;0
213396;2024-01-15 23:35:35.130074+00;2024-01-15 23:35:35.130116+00;false;2023-12-01 03:00:00+00;11,4;0;465,33;476,73;false;false;4177;2531;2023;12;0;0;\0;0;0;0;0;0;0
213397;2024-01-15 23:39:07.299017+00;2024-01-15 23:39:07.299051+00;false;2023-12-01 03:00:00+00;9586,5;6470,31;3421,64;7206,83;false;false;2381;2342;2023;12;669;0;\0;0;0;0;0;0;0
213398;2024-01-15 23:39:07.308019+00;2024-01-15 23:39:07.308054+00;false;2023-12-01 03:00:00+00;2059,54;1495,55;1462,08;1703,07;false;false;5945;2342;2023;12;0;323;\0;0;0;0;0;0;0
